TEHC_ST,MONTHCODE,n_lag_medicaid,medicaid_exit_rate,exit_to_uninsured_rate,valid_cell_30,valid_cell_50
48,4,588,0.0017006802721088435,0.0017006802721088435,True,True
48,5,585,0.006837606837606838,0.005128205128205128,True,True
48,6,582,0.015463917525773196,0.001718213058419244,True,True
48,7,567,0.003527336860670194,0.003527336860670194,True,True
48,8,566,0.0,0.0,True,True
48,9,565,0.021238938053097345,0.017699115044247787,True,True
48,10,556,0.0017985611510791368,0.0,True,True
48,11,560,0.017857142857142856,0.007142857142857143,True,True
48,12,553,0.023508137432188065,0.018083182640144666,True,True
49,2,53,0.0,0.0,True,True
49,3,53,0.0,0.0,True,True
49,4,53,0.0,0.0,True,True
49,5,53,0.1509433962264151,0.0,True,True
49,6,43,0.0,0.0,True,False
49,7,44,0.0,0.0,True,False
49,8,44,0.0,0.0,True,False
49,9,44,0.0,0.0,True,False
49,10,44,0.18181818181818182,0.0,True,False
49,11,36,0.0,0.0,True,False
49,12,36,0.0,0.0,True,False
50,2,8,0.0,0.0,False,False
50,3,8,0.0,0.0,False,False
50,4,8,0.0,0.0,False,False
50,5,8,0.0,0.0,False,False
50,6,8,0.0,0.0,False,False
50,7,8,0.0,0.0,False,False
50,8,8,0.0,0.0,False,False
50,9,8,0.0,0.0,False,False
50,10,8,0.0,0.0,False,False
50,11,8,0.0,0.0,False,False
50,12,8,0.0,0.0,False,False
51,2,154,0.012987012987012988,0.0,True,True
51,3,152,0.013157894736842105,0.0,True,True
51,4,151,0.0,0.0,True,True
51,5,153,0.013071895424836602,0.0,True,True
51,6,152,0.0,0.0,True,True
51,7,153,0.0,0.0,True,True
51,8,153,0.0,0.0,True,True
51,9,156,0.0,0.0,True,True
51,10,156,0.00641025641025641,0.0,True,True
51,11,159,0.0,0.0,True,True
51,12,159,0.0,0.0,True,True
53,2,169,0.011834319526627219,0.005917159763313609,True,True
53,3,165,0.0,0.0,True,True
53,4,165,0.012121212121212121,0.012121212121212121,True,True
53,5,158,0.006329113924050633,0.0,True,True
53,6,158,0.006329113924050633,0.0,True,True
53,7,155,0.0,0.0,True,True
53,8,155,0.0,0.0,True,True
53,9,159,0.012578616352201259,0.006289308176100629,True,True
53,10,160,0.00625,0.0,True,True
53,11,164,0.012195121951219513,0.006097560975609756,True,True
53,12,163,0.006134969325153374,0.0,True,True
54,2,54,0.0,0.0,True,True
54,3,54,0.0,0.0,True,True
54,4,54,0.0,0.0,True,True
54,5,54,0.037037037037037035,0.018518518518518517,True,True
54,6,52,0.0,0.0,True,True
54,7,52,0.0,0.0,True,True
54,8,53,0.0,0.0,True,True
54,9,53,0.03773584905660377,0.018867924528301886,True,True
54,10,51,0.0,0.0,True,True
54,11,51,0.0,0.0,True,True
54,12,50,0.0,0.0,True,True
55,2,127,0.015748031496062992,0.0,True,True
55,3,125,0.008,0.008,True,True
55,4,124,0.008064516129032258,0.008064516129032258,True,True
55,5,122,0.00819672131147541,0.0,True,True
55,6,122,0.00819672131147541,0.0,True,True
55,7,121,0.008264462809917356,0.0,True,True
55,8,120,0.008333333333333333,0.0,True,True
55,9,117,0.0,0.0,True,True
55,10,117,0.017094017094017096,0.017094017094017096,True,True
55,11,115,0.0,0.0,True,True
55,12,118,0.0,0.0,True,True
56,2,4,0.0,0.0,False,False
56,3,4,0.0,0.0,False,False
56,4,4,0.0,0.0,False,False
56,5,4,0.0,0.0,False,False
56,6,4,0.0,0.0,False,False
56,7,4,0.0,0.0,False,False
56,8,4,0.0,0.0,False,False
56,9,4,0.0,0.0,False,False
56,10,4,0.0,0.0,False,False
56,11,4,0.0,0.0,False,False
56,12,4,0.0,0.0,False,False
