state,county_fips,county_name,rows,years_present,min_year,max_year,total_enrollment,min_enrollment,table1_missing_years,treatment_constructible_years,suppression_or_missing_any,drake_supplement_exclusion_flag,drake_supplement_exclusion_reason,included_drake_harmonized_sample,missing_crosswalk_flag_any,missing_current_plan_flag_any,missing_premium_flag_any,missing_county_mapping_flag_any,all_three_years,table1_complete_all_years,treatment_constructible_all_years,low_enrollment_rank,candidate_extra_if_forcing_to_2159_by_low_enrollment,candidate_discrepancy_reason
AR,05087,,3,3,2022,2024,2294.0,543.0,0,3,False,False,,True,False,False,False,False,True,True,True,801,False,included_by_current_sample_rule
AR,05089,,3,3,2022,2024,1975.0,531.0,0,3,False,False,,True,False,False,False,False,True,True,True,711,False,included_by_current_sample_rule
AR,05091,,3,3,2022,2024,4840.0,1133.0,0,3,False,False,,True,False,False,False,False,True,True,True,1323,False,included_by_current_sample_rule
AR,05093,,3,3,2022,2024,3913.0,838.0,0,3,False,False,,True,False,False,False,False,True,True,True,1166,False,included_by_current_sample_rule
AR,05095,,3,3,2022,2024,823.0,205.0,0,3,False,False,,True,False,False,False,False,True,True,True,256,False,included_by_current_sample_rule
AR,05097,,3,3,2022,2024,1017.0,278.0,0,3,False,False,,True,False,False,False,False,True,True,True,336,False,included_by_current_sample_rule
AR,05099,,3,3,2022,2024,725.0,183.0,0,3,False,False,,True,False,False,False,False,True,True,True,213,False,included_by_current_sample_rule
AR,05101,,3,3,2022,2024,915.0,227.0,0,3,False,False,,True,False,False,False,False,True,True,True,297,False,included_by_current_sample_rule
AR,05103,,3,3,2022,2024,1918.0,441.0,0,3,False,False,,True,False,False,False,False,True,True,True,690,False,included_by_current_sample_rule
AR,05105,,3,3,2022,2024,1227.0,288.0,0,3,False,False,,True,False,False,False,False,True,True,True,427,False,included_by_current_sample_rule
AR,05107,,3,3,2022,2024,1907.0,446.0,0,3,False,False,,True,False,False,False,False,True,True,True,687,False,included_by_current_sample_rule
AR,05109,,3,3,2022,2024,1225.0,303.0,0,3,False,False,,True,False,False,False,False,True,True,True,425,False,included_by_current_sample_rule
AR,05111,,3,3,2022,2024,2280.0,577.0,0,3,False,False,,True,False,False,False,False,True,True,True,796,False,included_by_current_sample_rule
AR,05113,,3,3,2022,2024,2064.0,541.0,0,3,False,False,,True,False,False,False,False,True,True,True,734,False,included_by_current_sample_rule
AR,05115,,3,3,2022,2024,6442.0,1728.0,0,3,False,False,,True,False,False,False,False,True,True,True,1451,False,included_by_current_sample_rule
AR,05117,,3,3,2022,2024,1003.0,263.0,0,3,False,False,,True,False,False,False,False,True,True,True,329,False,included_by_current_sample_rule
AR,05119,,3,3,2022,2024,45514.0,11422.0,0,3,False,False,,True,False,False,False,False,True,True,True,2050,False,included_by_current_sample_rule
AR,05121,,3,3,2022,2024,1744.0,426.0,0,3,False,False,,True,False,False,False,False,True,True,True,637,False,included_by_current_sample_rule
AR,05123,,3,3,2022,2024,2113.0,505.0,0,3,False,False,,True,False,False,False,False,True,True,True,749,False,included_by_current_sample_rule
AR,05125,,3,3,2022,2024,13070.0,3454.0,0,3,False,False,,True,False,False,False,False,True,True,True,1779,False,included_by_current_sample_rule
AR,05127,,3,3,2022,2024,899.0,208.0,0,3,False,False,,True,False,False,False,False,True,True,True,290,False,included_by_current_sample_rule
AR,05129,,3,3,2022,2024,925.0,252.0,0,3,False,False,,True,False,False,False,False,True,True,True,301,False,included_by_current_sample_rule
AR,05131,,3,3,2022,2024,13838.0,3589.0,0,3,False,False,,True,False,False,False,False,True,True,True,1796,False,included_by_current_sample_rule
AR,05133,,3,3,2022,2024,1318.0,319.0,0,3,False,False,,True,False,False,False,False,True,True,True,472,False,included_by_current_sample_rule
AR,05135,,3,3,2022,2024,1929.0,501.0,0,3,False,False,,True,False,False,False,False,True,True,True,696,False,included_by_current_sample_rule
AR,05137,,3,3,2022,2024,1243.0,341.0,0,3,False,False,,True,False,False,False,False,True,True,True,437,False,included_by_current_sample_rule
AR,05139,,3,3,2022,2024,4376.0,1042.0,0,3,False,False,,True,False,False,False,False,True,True,True,1256,False,included_by_current_sample_rule
AR,05141,,3,3,2022,2024,1867.0,491.0,0,3,False,False,,True,False,False,False,False,True,True,True,669,False,included_by_current_sample_rule
AR,05143,,3,3,2022,2024,29741.0,8297.0,0,3,False,False,,True,False,False,False,False,True,True,True,1986,False,included_by_current_sample_rule
AR,05145,,3,3,2022,2024,8151.0,2140.0,0,3,False,False,,True,False,False,False,False,True,True,True,1586,False,included_by_current_sample_rule
AR,05147,,3,3,2022,2024,768.0,193.0,1,3,True,False,,True,False,False,False,False,True,False,True,231,False,missing_or_suppressed_table1_outcome
AR,05149,,3,3,2022,2024,1711.0,472.0,0,3,False,False,,True,False,False,False,False,True,True,True,620,False,included_by_current_sample_rule
AZ,04001,,3,3,2022,2024,3096.0,632.0,0,3,False,False,,True,False,False,False,False,True,True,True,1009,False,included_by_current_sample_rule
AZ,04003,,3,3,2022,2024,11265.0,2944.0,0,3,False,False,,True,False,False,False,False,True,True,True,1724,False,included_by_current_sample_rule
AZ,04005,,3,3,2022,2024,15941.0,4387.0,0,3,False,False,,True,False,False,False,False,True,True,True,1839,False,included_by_current_sample_rule
AZ,04007,,3,3,2022,2024,5333.0,1337.0,0,3,False,False,,True,False,False,False,False,True,True,True,1369,False,included_by_current_sample_rule
AZ,04009,,3,3,2022,2024,3236.0,757.0,0,3,False,False,,True,False,False,False,False,True,True,True,1044,False,included_by_current_sample_rule
AZ,04011,,3,3,2022,2024,446.0,95.0,1,3,True,False,,True,False,False,False,False,True,False,True,93,False,missing_or_suppressed_table1_outcome
AZ,04012,,3,3,2022,2024,1623.0,365.0,1,3,True,False,,True,False,False,False,False,True,False,True,585,False,missing_or_suppressed_table1_outcome
AZ,04013,,3,3,2022,2024,496227.0,125137.0,0,3,False,False,,True,False,False,False,False,True,True,True,2181,False,included_by_current_sample_rule
AZ,04015,,3,3,2022,2024,28965.0,7704.0,0,3,False,False,,True,False,False,False,False,True,True,True,1984,False,included_by_current_sample_rule
AZ,04017,,3,3,2022,2024,9112.0,2210.0,0,3,False,False,,True,False,False,False,False,True,True,True,1647,False,included_by_current_sample_rule
AZ,04019,,3,3,2022,2024,110167.0,28436.0,0,3,False,False,,True,False,False,False,False,True,True,True,2131,False,included_by_current_sample_rule
AZ,04021,,3,3,2022,2024,39168.0,9184.0,0,3,False,False,,True,False,False,False,False,True,True,True,2029,False,included_by_current_sample_rule
AZ,04023,,3,3,2022,2024,5756.0,1526.0,0,3,False,False,,True,False,False,False,False,True,True,True,1404,False,included_by_current_sample_rule
AZ,04025,,3,3,2022,2024,37240.0,11095.0,0,3,False,False,,True,False,False,False,False,True,True,True,2019,False,included_by_current_sample_rule
AZ,04027,,3,3,2022,2024,15415.0,3897.0,0,3,False,False,,True,False,False,False,False,True,True,True,1827,False,included_by_current_sample_rule
DE,10001,,3,3,2022,2024,16545.0,4589.0,0,3,False,False,,True,False,False,False,False,True,True,True,1854,False,included_by_current_sample_rule
DE,10003,,3,3,2022,2024,59946.0,17476.0,0,3,False,False,,True,False,False,False,False,True,True,True,2089,False,included_by_current_sample_rule
DE,10005,,3,3,2022,2024,35206.0,10048.0,0,3,False,False,,True,False,False,False,False,True,True,True,2014,False,included_by_current_sample_rule
FL,12001,,3,3,2022,2024,75233.0,19000.0,0,3,False,False,,True,False,False,False,False,True,True,True,2109,False,included_by_current_sample_rule
FL,12003,,3,3,2022,2024,6062.0,1492.0,0,3,False,False,,True,False,False,False,False,True,True,True,1426,False,included_by_current_sample_rule
FL,12005,,3,3,2022,2024,63592.0,15964.0,0,3,False,False,,True,False,False,False,False,True,True,True,2094,False,included_by_current_sample_rule
FL,12007,,3,3,2022,2024,6479.0,1463.0,0,3,False,False,,True,False,False,False,False,True,True,True,1456,False,included_by_current_sample_rule
FL,12009,,3,3,2022,2024,180190.0,49177.0,0,3,False,False,,True,False,False,False,False,True,True,True,2156,False,included_by_current_sample_rule
FL,12011,,3,3,2022,2024,1287674.0,349201.0,0,3,False,False,,True,False,False,False,False,True,True,True,2186,False,included_by_current_sample_rule
FL,12013,,3,3,2022,2024,3066.0,730.0,0,3,False,False,,True,False,False,False,False,True,True,True,1001,False,included_by_current_sample_rule
FL,12015,,3,3,2022,2024,54538.0,14452.0,0,3,False,False,,True,False,False,False,False,True,True,True,2076,False,included_by_current_sample_rule
FL,12017,,3,3,2022,2024,43879.0,11665.0,0,3,False,False,,True,False,False,False,False,True,True,True,2046,False,included_by_current_sample_rule
FL,12019,,3,3,2022,2024,56901.0,15029.0,0,3,False,False,,True,False,False,False,False,True,True,True,2082,False,included_by_current_sample_rule
FL,12021,,3,3,2022,2024,175115.0,49570.0,0,3,False,False,,True,False,False,False,False,True,True,True,2154,False,included_by_current_sample_rule
FL,12023,,3,3,2022,2024,22694.0,6534.0,0,3,False,False,,True,False,False,False,False,True,True,True,1937,False,included_by_current_sample_rule
FL,12027,,3,3,2022,2024,7814.0,2142.0,0,3,False,False,,True,False,False,False,False,True,True,True,1565,False,included_by_current_sample_rule
FL,12029,,3,3,2022,2024,4336.0,962.0,0,3,False,False,,True,False,False,False,False,True,True,True,1246,False,included_by_current_sample_rule
FL,12031,,3,3,2022,2024,362012.0,89541.0,0,3,False,False,,True,False,False,False,False,True,True,True,2175,False,included_by_current_sample_rule
FL,12033,,3,3,2022,2024,86701.0,21026.0,0,3,False,False,,True,False,False,False,False,True,True,True,2118,False,included_by_current_sample_rule
FL,12035,,3,3,2022,2024,43185.0,11760.0,0,3,False,False,,True,False,False,False,False,True,True,True,2042,False,included_by_current_sample_rule
FL,12037,,3,3,2022,2024,3727.0,932.0,0,3,False,False,,True,False,False,False,False,True,True,True,1123,False,included_by_current_sample_rule
FL,12039,,3,3,2022,2024,13451.0,3282.0,0,3,False,False,,True,False,False,False,False,True,True,True,1785,False,included_by_current_sample_rule
FL,12041,,3,3,2022,2024,4415.0,1153.0,0,3,False,False,,True,False,False,False,False,True,True,True,1263,False,included_by_current_sample_rule
FL,12043,,3,3,2022,2024,3879.0,756.0,0,3,False,False,,True,False,False,False,False,True,True,True,1162,False,included_by_current_sample_rule
FL,12045,,3,3,2022,2024,4742.0,1355.0,0,3,False,False,,True,False,False,False,False,True,True,True,1313,False,included_by_current_sample_rule
FL,12047,,3,3,2022,2024,3838.0,926.0,0,3,False,False,,True,False,False,False,False,True,True,True,1151,False,included_by_current_sample_rule
