source_group,year,file_type,source_page_url,direct_download_url,local_path,file_format,http_status,download_success,file_size_bytes,checksum_sha256,date_downloaded,notes
exchange_puf,2022,Plan Attributes PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2022/plan-attributes-puf.zip,data\raw\exchange_puf\2022\plan-attributes-puf.zip,zip,200,True,1434626,1a0fdde699744ef3de2696c8dca0c67132333fe945954a8db8cff78db1329847,2026-05-26T16:40:24+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2022,Service Area PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2022/service-area-puf.zip,data\raw\exchange_puf\2022\service-area-puf.zip,zip,200,True,68766,832f6eb8c8858cb1b1d99dc10c6019f8aaab87b4636a6e6345354e64a671be14,2026-05-26T16:40:28+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2022,Plan ID Crosswalk PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2022/plan-id-crosswalk-puf.zip,data\raw\exchange_puf\2022\plan-id-crosswalk-puf.zip,zip,200,True,468309,debc7887fbc26fdddd74ad059a56df5ff2c4b3d3825b4ca668f16ca5425d5465,2026-05-26T16:40:31+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2023,Rate PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2023/rate-puf.zip,data\raw\exchange_puf\2023\rate-puf.zip,zip,200,True,20497409,2676dfd73b02aa3c5e73ef6c92d19d70aebeab69693bbafc045e283620a0b4f6,2026-05-26T16:40:34+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2023,Plan Attributes PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2023/plan-attributes-puf.zip,data\raw\exchange_puf\2023\plan-attributes-puf.zip,zip,200,True,1536445,f8df96bbbd40ffabb1e96b960b68be1277855f13e2bcd8899f844b1668bf1ade,2026-05-26T16:40:38+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2023,Service Area PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2023/service-area-puf.zip,data\raw\exchange_puf\2023\service-area-puf.zip,zip,200,True,66937,52f0d54af0066b7f290b0437e2fe0eb36dc66e119718090e708acc4c12cece41,2026-05-26T16:40:42+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2023,Plan ID Crosswalk PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2023/plan-id-crosswalk-puf.zip,data\raw\exchange_puf\2023\plan-id-crosswalk-puf.zip,zip,200,True,621761,47f7054455403ec846b376abd2343ff46debadc09365ade8d54da04e6ae65eed,2026-05-26T16:40:45+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2024,Rate PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2024/rate-puf.zip,data\raw\exchange_puf\2024\rate-puf.zip,zip,200,True,17405682,b3b440b7eb50adf1d9172139ad79aef630d1d12ad856e57080a226357555ee25,2026-05-26T16:40:48+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2024,Plan Attributes PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2024/plan-attributes-puf.zip,data\raw\exchange_puf\2024\plan-attributes-puf.zip,zip,200,True,1126804,8630732e2abe79d01f191e0463a3a2ac4de1ace4bdf1ddab404270752115e095,2026-05-26T16:40:54+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2024,Service Area PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2024/service-area-puf.zip,data\raw\exchange_puf\2024\service-area-puf.zip,zip,200,True,57175,24eb357b1cff4f439d7428303cbf79fa11e541e9782cbea2745b401dd080f64f,2026-05-26T16:40:57+00:00,Official CMS Exchange PUF direct URL pattern.
